site,datetime,stat,bp,co,no,no2,nox,out_rh,out_t,pm25t,sigtheta,sonicwd,sonicws,uvpm
Parkway East,2019-03-28T00:00:00,Avg,732.5,0.3589,1.5,11.8,13.5,41.2,11.4,11,18.9,202,5.4,1175
Parkway East,2019-03-29T00:00:00,Avg,729.9,0.3967,1.9,12.4,14.2,78.3,12.7,17,21.7,214,4.2,1639
Parkway East,2019-03-30T00:00:00,Avg,723.6,0.4921,1.4,9.2,11.1,64.4,15.8,16,25.9,199,5.1,1603
Parkway East,2019-03-31T00:00:00,Avg,728.3,0.3143,2.7,4.2,7,74.9,1.1,4,27.2,317,7.5,257
Parkway East,2019-04-01T00:00:00,Avg,735.4,0.3089,5.8,8.3,14.2,54.5,1.6,5,32.1,302,4.4,601
Parkway East,2019-04-02T00:00:00,Avg,731.3,0.3826,3.7,13.6,17.1,46.2,5.9,8,28.7,178,3.1,962
Parkway East,2019-04-03T00:00:00,Avg,732.6,0.5465,6.1,14.4,20.6,40.4,9.8,12,26.2,285,6.2,1205
Parkway East,2019-04-04T00:00:00,Avg,737,0.8017,9,18.5,27.6,49,10,14,42.6,83,2.7,1890
Parkway East,2019-04-05T00:00:00,Avg,732.5,0.1645,0.3,5.3,5.8,84.2,9,7,33.6,137,2.2,512
Parkway East,2019-04-06T00:00:00,Avg,732.7,0.542,3,9,12.2,68.7,13.7,10,41.1,69,2,1186
Parkway East,2019-04-07T00:00:00,Avg,729.7,0.2474,0.9,5.6,6.7,73.3,15.8,12,24.3,168,3.5,1207
Parkway East,2019-04-08T00:00:00,Avg,725,0.4522,5.2,10.8,15.6,70.7,18.3,8,27,246,5.5,946
Parkway East,2019-04-09T00:00:00,Avg,722.1,0.3906,4.6,10.1,15,55.2,16.1,7,28.8,288,6.1,1011
Parkway East,2019-04-10T00:00:00,Avg,726.4,0.4755,9.3,10.3,19.7,51.7,10.9,5,33.4,352,4.5,891
Parkway East,2019-04-11T00:00:00,Avg,727.6,0.2244,5.3,6.5,11.8,52.9,14.3,6,48.8,115,2.4,905
Parkway East,2019-04-12T00:00:00,Avg,726.9,0.1759,0.7,5.8,6.6,72.1,17.7,9,24,182,5.8,594
Parkway East,2016-01-01T00:00:00,Avg,731.3,0.2789,2.2,4.9,7.3,67.6,0,7,30.8,265,6.7,308
Parkway East,2016-01-02T00:00:00,Avg,729.7,0.2607,1.9,6.9,9,69.6,-0.4,9,23.8,239,6.1,544
Parkway East,2016-01-03T00:00:00,Avg,726.9,0.363,4,7.9,12,71.7,0.2,9,26.5,273,5.6,554
Parkway East,2016-01-04T00:00:00,Avg,733.6,0.3907,9,8.9,18,65.1,-4.3,4,39.2,7,4.4,485
Parkway East,2016-01-05T00:00:00,Avg,741.7,0.4486,11,17.7,28.8,61.5,-7.9,11,43.8,128,1.5,1030
Parkway East,2016-01-06T00:00:00,Avg,737.9,0.6073,28.6,22.9,51.6,55.6,-2.8,17,24.3,126,2,2313
Parkway East,2016-01-07T00:00:00,Avg,732.8,1.0472,55,30,85.1,49.3,0.9,19,41.9,137,1.2,3212
Parkway East,2016-01-08T00:00:00,Avg,728.2,0.5956,26.3,26,52.5,73,1.5,17,34.8,138,1.4,3035
Parkway East,2016-01-09T00:00:00,Avg,726,0.3339,2.7,9.6,12.3,85.2,7.9,8,25.2,159,3.1,900
Parkway East,2016-01-10T00:00:00,Avg,718.3,0.2277,1.7,4.7,6.5,84.3,3.4,1,29.5,233,7.3,178
Parkway East,2016-01-11T00:00:00,Avg,728.5,0.2564,4,8.1,12.2,62.5,-6.9,7,26.8,242,7.2,525
Parkway East,2016-01-12T00:00:00,Avg,723.5,0.2158,3.3,8.6,12,83.3,-4.7,8,24,241,8.1,637
Parkway East,2016-01-13T00:00:00,Avg,729.6,0.2568,5.1,12.2,17.3,65.7,-10.2,13,24,233,6.2,720
Parkway East,2016-01-14T00:00:00,Avg,725.1,0.4021,2.5,15,17.6,62.5,1.5,13,18.5,214,6,1217
Parkway East,2016-01-15T00:00:00,Avg,720.2,0.3897,2.2,19.3,21.6,63.1,6.2,12,21.2,167,3.5,1451
Parkway East,2016-01-16T00:00:00,Avg,720.3,0.4083,5.1,9.1,14.3,83.8,2.4,8,29.4,273,5.4,527
Parkway East,2016-01-17T00:00:00,Avg,724.1,0.3467,3.4,7.3,10.9,73.2,-2.4,7,30.4,295,5.1,418
Parkway East,2016-01-18T00:00:00,Avg,730,0.3359,7,9.1,16.2,63.1,-12.1,8,32.6,273,6.9,556
Parkway East,2016-01-19T00:00:00,Avg,736.1,0.4713,13.5,14.6,28.2,63.7,-10.7,11,31.5,276,5.4,941
Parkway East,2016-01-20T00:00:00,Avg,733.6,0.4727,19.5,23.5,43.1,77.1,-9,18,41.5,63,2,1764
Parkway East,2016-01-21T00:00:00,Avg,735,0.5781,18.5,22.4,41.1,76.7,-7.4,22,30.3,292,2.8,1704
Parkway East,2016-01-22T00:00:00,Avg,731,0.3919,10.3,16.1,26.6,80,-7,12,40.7,83,2,1164
Parkway East,2016-01-23T00:00:00,Avg,725.6,0.2525,3.5,7.2,10.8,78.7,-5.5,3,36.9,13,3.8,390
