site,datetime,stat,bp,co,no,no2,nox,out_rh,out_t,pm25t,sigtheta,sonicwd,sonicws,uvpm
Parkway East,2016-11-24T00:00:00,Avg,731.9,0.4972,3.9,10.6,14.6,82,8.4,18,28.3,231,3.4,1757
Parkway East,2016-11-25T00:00:00,Avg,734.4,0.4986,7.1,10,17.2,77.6,6.3,7,30.1,273,3.6,750
Parkway East,2016-11-26T00:00:00,Avg,734.5,0.4783,6.3,8.3,14.7,77.1,4,8,29.5,281,4.8,633
Parkway East,2016-11-27T00:00:00,Avg,733.3,0.3893,3.9,9.7,13.7,70.6,3.7,10,26.5,248,2.9,851
Parkway East,2016-11-28T00:00:00,Avg,727.6,0.3087,5.8,12.7,18.6,64.9,5.5,12,26.7,126,1.6,1908
Parkway East,2016-11-29T00:00:00,Avg,723.3,0.4174,4.1,12.5,16.6,80,11.8,10,27.5,169,3,1147
Parkway East,2016-11-30T00:00:00,Avg,721.1,0.2683,3.3,10.2,13.4,89,12.2,6,28.4,174,3.3,897
Parkway East,2016-12-01T00:00:00,Avg,724.9,0.3249,8.9,7.9,16.9,70.5,4.7,5,30.5,268,6.8,647
Parkway East,2016-12-02T00:00:00,Avg,730.4,0.3607,8.9,9,18,73.4,3.1,5,30.9,263,6.1,684
Parkway East,2016-12-03T00:00:00,Avg,735.2,0.4846,5.8,9.7,15.7,74.6,2.7,7,28.5,279,4.7,658
Parkway East,2016-12-04T00:00:00,Avg,732,0.3066,2.2,9.6,11.9,70.8,3.4,9,46.3,158,1.4,721
Parkway East,2016-12-05T00:00:00,Avg,729.5,0.4912,11.4,11.8,23.3,76.6,4.2,9,31.5,307,4.2,959
Parkway East,2016-12-06T00:00:00,Avg,725.1,0.2301,1.1,7.8,9,87.2,3,5,43.2,139,2.1,497
Parkway East,2016-12-07T00:00:00,Avg,729.5,0.4226,9.3,12.7,22.1,67.9,3.7,11,30.2,263,5.3,1009
Parkway East,2016-12-08T00:00:00,Avg,731.4,0.3433,7.4,9.3,16.8,64.5,-1,7,30.9,273,6.6,720
Parkway East,2016-12-09T00:00:00,Avg,737.1,0.4096,10.4,10.3,20.8,73.1,-3.7,10,30.6,275,6.5,819
Parkway East,2016-12-10T00:00:00,Avg,739.4,0.2889,3.3,9.2,12.6,71.9,-3.7,11,28.5,255,5.3,736
Parkway East,2016-12-11T00:00:00,Avg,734.5,0.2347,1.8,9.2,11.1,79.8,-1.8,10,33.9,150,2.3,896
Parkway East,2016-12-12T00:00:00,Avg,727.4,0.395,8.2,11.2,19.5,79.9,2.7,11,27.8,275,5.7,1580
Parkway East,2016-12-13T00:00:00,Avg,730.9,0.4175,16.7,19.6,36.3,85.1,-0.7,19,26.6,237,2.5,1645
Parkway East,2016-12-14T00:00:00,Avg,730.5,0.3532,8.4,12.8,21.3,68.9,-3.8,11,28.1,270,5.5,862
Parkway East,2016-12-15T00:00:00,Avg,733.2,0.3356,7.6,10.7,18.4,59.9,-10.8,11,30.9,276,7.7,702
Parkway East,2016-12-16T00:00:00,Avg,735.2,0.2733,3.3,14.9,18.3,60.8,-10.3,9,31.7,180,3,1082
Parkway East,2016-12-17T00:00:00,Avg,722.8,0.5443,3,15.3,18.4,89,4.2,13,28.7,155,3.7,1175
Parkway East,2016-12-18T00:00:00,Avg,730.9,0.3964,4.5,8.1,12.7,84,1.8,5,30.1,318,5.8,479
Parkway East,2016-12-19T00:00:00,Avg,744,0.6475,18.6,22.4,41.1,72.2,-5.4,10,51.3,70,1.4,1304
Parkway East,2016-12-20T00:00:00,Avg,737.6,0.4251,12.2,16.5,28.9,72.3,-3.1,17,19,176,3.8,1843
Parkway East,2016-12-21T00:00:00,Avg,732.9,0.4345,4.2,15.5,19.8,67.5,0.6,15,21,208,4.6,1725
Parkway East,2016-12-22T00:00:00,Avg,732.3,0.5153,10.4,16,26.5,62.2,3.3,15,27,266,5.4,1649
Parkway East,2016-12-23T00:00:00,Avg,737.5,0.3171,2.4,14.2,16.6,68.2,2,14,31,197,3.4,1352
Parkway East,2016-12-24T00:00:00,Avg,733.3,0.5547,5,10.2,15.2,82.6,6.3,10,28.6,270,4.5,1014
Parkway East,2016-12-25T00:00:00,Avg,739.7,0.5038,3.9,7.5,11.4,84.2,2.9,11,41.8,75,2.3,810
Parkway East,2016-12-26T00:00:00,Avg,734.2,0.3528,0.8,7.8,8.7,80.2,11.3,10,24.1,172,4.7,1037
Parkway East,2016-12-27T00:00:00,Avg,728.9,0.3648,7,8.1,15.1,63.4,8.3,4,32.2,266,7.3,667
Parkway East,2016-12-28T00:00:00,Avg,730.9,0.2807,5.1,9.7,14.8,63.3,2.2,6,27,248,4.4,763
Parkway East,2016-12-29T00:00:00,Avg,722.4,0.3591,5.7,11.6,17.5,75.2,2.5,7,29.8,248,6.2,862
Parkway East,2016-12-30T00:00:00,Avg,726.2,0.3137,4.9,8.4,13.4,71.9,-0.9,4,27.1,280,7.2,505
Parkway East,2016-12-31T00:00:00,Avg,726.1,0.2379,0.6,6.8,7.4,67.5,1.6,7,17.9,211,8.8,544
Parkway East,2017-01-01T00:00:00,Avg,732.3,0.3261,2.6,8.7,11.4,74.4,3.5,11,40.3,250,2.6,
Parkway East,2017-01-02T00:00:00,Avg,732.4,0.1991,0.5,5.7,6.2,92.3,6.3,5,32.6,137,1.3,
Parkway East,2017-01-03T00:00:00,Avg,721.5,0.2914,3.4,10.4,13.9,95.3,7.6,3,29.1,154,1.9,983
Parkway East,2017-01-04T00:00:00,Avg,722.3,0.3178,6.6,8.1,14.8,68.8,1.6,4,30.1,289,8.2,593
Parkway East,2017-01-05T00:00:00,Avg,727.1,0.2538,5.1,11.1,16.4,71.4,-5.6,6,28.3,258,5.2,571
Parkway East,2017-02-19T00:00:00,Avg,728.6,0.4908,3.5,10.9,14.6,64.2,12.4,17,27.4,251,4.6,1503
Parkway East,2017-02-20T00:00:00,Avg,734.2,0.7157,15,17.9,33.1,65.9,10.2,23,42.5,218,1.6,2435
Parkway East,2017-02-21T00:00:00,Avg,730.2,0.2839,2,12.1,14.2,52.1,12.8,11,20.4,165,2.6,1354
Parkway East,2017-02-22T00:00:00,Avg,726.6,0.8489,5.7,18.8,24.5,60,15.5,21,27.3,201,3.3,2662
Parkway East,2017-02-23T00:00:00,Avg,724.7,0.3826,2.6,9.6,12.4,75.6,16.2,13,21.5,212,4.9,1314
Parkway East,2017-02-24T00:00:00,Avg,722.6,0.3793,1.4,9.6,11.1,58.9,18.9,11,22.7,177,5.1,1313
Parkway East,2017-02-25T00:00:00,Avg,721.2,0.3205,2.8,4.9,7.7,65.9,9.1,4,29.5,262,8.3,491
Parkway East,2017-02-26T00:00:00,Avg,731.5,0.313,2.7,6,8.8,55.9,0.5,7,26.7,260,6.1,500
Parkway East,2017-02-27T00:00:00,Avg,735.6,0.4344,1.7,14.9,16.7,63.9,4.6,12,21.2,183,3.9,1604
Parkway East,2017-02-28T00:00:00,Avg,731.2,0.3227,4.6,11.8,16.5,78.6,9.9,9,22.8,163,4.8,1404
Parkway East,2017-03-01T00:00:00,Avg,720.2,0.2098,3.5,6.8,10.4,78.6,13.4,6,25.8,233,9.2,649
Parkway East,2017-03-02T00:00:00,Avg,729.7,0.364,7,8.1,15.2,66.7,1.1,5,29.4,303,7.9,617
Parkway East,2017-03-03T00:00:00,Avg,737.4,0.4115,7.4,9.7,17.2,60.1,-2.5,7,29,303,6.7,666
Parkway East,2017-03-04T00:00:00,Avg,742.6,0.5422,5.6,10.9,16.6,53,-2.5,7,32,338,3.9,789
Parkway East,2017-03-05T00:00:00,Avg,740.8,0.2844,1.8,6,7.9,45.5,0.6,6,56.8,113,1.4,630
Parkway East,2017-03-06T00:00:00,Avg,735.3,0.512,1.3,13.6,15,69,8.7,15,20.7,175,4.3,1741
Parkway East,2017-03-07T00:00:00,Avg,729.6,0.3204,0.6,8.3,9.1,85.6,12,11,22.3,196,7.6,1130
Parkway East,2017-03-08T00:00:00,Avg,729.9,0.2409,2.9,6.2,9.2,52.1,9.2,2,27.8,246,9.3,442
Parkway East,2017-03-09T00:00:00,Avg,730.5,0.4297,7.6,10.7,18.4,38.7,9.7,5,30.4,299,5.6,866
Parkway East,2017-03-10T00:00:00,Avg,730,0.3569,6.3,7.9,14.3,77.2,-0.8,4,33.5,334,5.9,653
Parkway East,2017-03-11T00:00:00,Avg,735.9,0.4387,5,6.8,11.8,58.4,-5.6,5,31.3,329,5.7,505
Parkway East,2017-03-12T00:00:00,Avg,737.4,0.5806,5.9,14.8,20.7,62,-4.6,8,33.1,321,2.8,912
Parkway East,2017-03-13T00:00:00,Avg,733,0.2678,3,8.1,11.2,56.2,-0.2,8,51.8,106,1.6,737
Parkway East,2017-03-14T00:00:00,Avg,725.3,0.3459,7,8.8,15.8,76.5,-3.2,7,29.7,354,6.3,906
Parkway East,2017-03-15T00:00:00,Avg,728.3,0.2912,5.6,9.1,14.8,67.3,-6,5,26.4,302,8.8,611
Parkway East,2017-03-16T00:00:00,Avg,733.4,0.4895,9.5,14,23.6,58.7,-1.5,10,29.1,303,6.1,986
Parkway East,2017-03-17T00:00:00,Avg,734.1,1.3808,12.2,19.3,31.6,71.7,-0.2,29,33.3,162,2.5,2754
Parkway East,2017-03-18T00:00:00,Avg,729.3,0.3827,3.4,13,16.5,90.4,3.2,14,22.2,226,3.8,1098
Parkway East,2017-03-19T00:00:00,Avg,734.9,0.609,5.9,9.9,15.9,78.7,3.3,13,34.4,333,3.2,935
Parkway East,2017-03-20T00:00:00,Avg,731.6,0.3942,6.1,15.6,21.8,65.3,6.9,14,36.3,220,2.6,1106
Parkway East,2017-03-21T00:00:00,Avg,728.5,0.5486,12.5,14.4,27,54.4,10.7,11,37.4,328,4.7,1512
Parkway East,2017-03-22T00:00:00,Avg,737.5,0.4225,7.5,7.7,15.3,45.2,0.8,4,38.2,356,5.6,595
Parkway East,2017-03-23T00:00:00,Avg,739.8,0.2693,3.4,10.7,14.2,40.8,2.3,7,47,119,1.8,699
Parkway East,2017-03-24T00:00:00,Avg,732.9,0.3157,1.2,10.5,11.8,55.2,14.5,15,20.5,210,7.4,1349
Parkway East,2017-03-25T00:00:00,Avg,732.5,0.482,2.5,7.8,10.5,58.3,19.4,17,31,244,3.5,1603
Parkway East,2017-03-26T00:00:00,Avg,730.5,0.188,0.4,3.9,4.4,74.9,14.7,15,28.7,140,2.5,1039
Parkway East,2017-03-27T00:00:00,Avg,727.6,0.4824,4.8,12.5,17.4,72.7,16,8,30.8,222,3.9,1082
Parkway East,2017-03-28T00:00:00,Avg,727.3,0.4711,6.2,12,18.3,85.7,13.2,12,26.5,276,3.5,1302
Parkway East,2017-03-29T00:00:00,Avg,732.7,0.5728,10.5,11.5,22.1,58.1,11.6,5,41.3,19,3.1,880
Parkway East,2017-03-30T00:00:00,Avg,727.4,0.2108,2.5,6.1,8.8,62.9,10.2,6,46.3,118,1.7,598
Parkway East,2017-03-31T00:00:00,Avg,721,0.3472,4.9,11.2,16.2,92.7,10.3,7,36.4,104,2.1,797
Parkway East,2017-04-01T00:00:00,Avg,729.7,0.5144,5.4,7.7,13.2,85.2,5.3,4,23.8,314,5.6,488
Parkway East,2017-04-02T00:00:00,Avg,733.3,0.3373,2.3,8.9,11.4,64.1,8.8,7,38.9,210,2.2,624
Parkway East,2017-04-03T00:00:00,Avg,723.6,0.2365,1.7,8.3,10.1,60.5,15,7,32.8,141,2.3,860
Parkway East,2017-04-04T00:00:00,Avg,719.9,0.2957,2.9,6.6,9.6,68.8,15.7,4,25.7,252,8.4,615
Parkway East,2017-04-05T00:00:00,Avg,724,0.3285,5.9,7.8,13.7,56,15.1,4,47.3,105,2.9,668
Parkway East,2017-04-06T00:00:00,Avg,714.4,0.256,3.2,6.7,10,83,10.2,3,31.5,229,5.9,477
Parkway East,2017-04-07T00:00:00,Avg,722,0.3579,6.8,8.3,15.2,78.9,2.1,3,25.6,313,7.8,506
Parkway East,2017-04-08T00:00:00,Avg,729.3,0.6957,7.6,16.4,24.1,45.8,7.6,7,33.5,293,3.4,950
Parkway East,2017-04-09T00:00:00,Avg,730.7,0.2643,1.7,8.7,10.4,42.9,13.2,12,20,162,3.9,1604
Parkway East,2017-04-10T00:00:00,Avg,730.7,0.3345,0.9,13,14,32.8,19.4,14,19.3,203,6.5,1347
Parkway East,2017-04-11T00:00:00,Avg,732.5,0.5067,3.6,15.1,18.7,60.6,17.4,10,29,220,4.2,1911
Parkway East,2017-04-12T00:00:00,Avg,736.1,0.5756,10.4,11.3,21.8,55.5,14.2,7,32.5,324,4.4,1139
Parkway East,2017-04-13T00:00:00,Avg,738.2,0.455,8.4,11.3,19.7,52.1,11.8,6,45.4,74,2.2,1023
Parkway East,2019-04-13T00:00:00,Avg,729.8,0.4814,2.4,9.1,11.6,43,16.8,5,35.2,258,3.9,824
Parkway East,2019-04-14T00:00:00,Avg,719.4,0.2408,1.4,5.2,6.7,72.3,16.1,9,39.1,134,4.2,967
Parkway East,2019-04-15T00:00:00,Avg,723.6,0.3264,5.4,7.7,13.2,72.9,6.9,4,30.4,280,8.3,497
Parkway East,2019-04-16T00:00:00,Avg,730.3,0.2112,1.5,8,9.5,54.6,12.1,8,22.3,225,5.7,592
Parkway East,2019-04-17T00:00:00,Avg,727.9,0.3364,3.6,11.4,15.2,50.3,18.8,13,35.9,184,3.2,1366
Parkway East,2019-04-18T00:00:00,Avg,723.1,0.3922,1.5,9.9,11.1,47.1,21,12,25.5,180,5.1,1338
Parkway East,2019-04-19T00:00:00,Avg,718.1,0.5377,1.5,9.2,10.8,74.9,18.6,15,36.6,182,4.5,932
Parkway East,2019-04-20T00:00:00,Avg,718.1,0.261,1.4,5.3,6.8,80.8,14.8,15,38.7,186,4.5,421
Parkway East,2019-04-21T00:00:00,Avg,729.2,0.5113,3.7,6.6,10.1,81.5,9.9,7,32.3,286,3.6,451
Parkway East,2019-04-22T00:00:00,Avg,732.8,0.4997,12.2,13.1,25.4,68.2,13.9,11,46.2,298,2.1,1317
Parkway East,2019-04-23T00:00:00,Avg,726.9,0.3365,2.3,9.5,12.6,63.5,17.8,17,28.5,225,6.2,1191
Parkway East,2019-04-24T00:00:00,Avg,727,0.4763,8.8,9.3,18.2,53.4,14.4,8,36.5,333,4.2,823
Parkway East,2019-04-25T00:00:00,Avg,724.6,0.2519,2.4,9.6,12.2,85.9,14,,54.5,130,1.1,1213
Parkway East,2019-04-26T00:00:00,Avg,717.4,0.3226,3.2,8.2,11.5,89.3,12.7,10,32.8,273,5.8,792
Parkway East,2019-04-27T00:00:00,Avg,724.1,0.3533,2.7,5.4,8.2,53.9,10.6,4,36.7,286,6.5,474
Parkway East,2019-04-28T00:00:00,Avg,728.8,0.5414,3.6,7.3,11,79.3,8.8,6,48.4,32,2.9,647
Parkway East,2019-04-29T00:00:00,Avg,732.1,0.2133,1.7,5.7,7.5,62.1,12.9,13,52.8,160,2.4,568
Parkway East,2019-04-30T00:00:00,Avg,733.4,0.5053,8.3,10,18.4,80.7,14.6,,51.3,9,2.4,1247
Parkway East,2019-05-01T00:00:00,Avg,731.1,0.3284,2,7.2,9.3,65.2,21.9,13,35.4,200,5.1,941
Parkway East,2019-05-02T00:00:00,Avg,731.1,0.4651,5.6,9.9,15.6,72.5,21.1,13,43.4,241,2.9,1087
Parkway East,2019-05-03T00:00:00,Avg,728.3,0.5022,4.9,10.5,15.5,85.7,19.1,11,40.4,214,2.3,1250
Parkway East,2019-05-04T00:00:00,Avg,725.8,0.6726,6.7,7.6,14.4,86.4,17.2,8,36.2,333,2.9,1163
Parkway East,2019-05-05T00:00:00,Avg,724.1,0.6526,6,6.8,12.4,87.9,15.3,4,31.5,7,3.1,740
Parkway East,2019-05-06T00:00:00,Avg,729.1,0.5817,10,14,24.1,63.9,17.1,10,41.9,293,2.5,1496
Parkway East,2019-05-07T00:00:00,Avg,731.5,0.6335,6.1,14.3,20.5,62.4,18.9,19,37.3,134,3.3,1889
Parkway East,2019-05-08T00:00:00,Avg,731.5,0.5223,10.4,10.2,20.7,61.4,19.7,8,50.1,53,3.2,1064
Parkway East,2019-05-09T00:00:00,Avg,728.4,0.2075,0.6,4.6,5.3,75.7,20.5,10,42.9,186,4.5,650
Parkway East,2019-05-10T00:00:00,Avg,728.3,0.3969,4.1,7.9,12.2,81.4,18.1,9,40.3,265,4.5,807
Parkway East,2019-05-11T00:00:00,Avg,728.9,0.5205,3.8,5.7,9.6,66.1,13.8,4,53,40,2.7,593
Parkway East,2019-05-12T00:00:00,Avg,721.4,0.3713,2.6,5.6,8.3,94.1,12.8,7,52.9,114,2.2,387
Parkway East,2019-05-13T00:00:00,Avg,722.8,0.3405,6,7.4,13.1,88.1,11.7,10,32.5,275,4.9,860
Parkway East,2019-05-14T00:00:00,Avg,727.1,0.6087,9.3,10.7,20.1,78.7,9.1,4,41.6,319,3.7,1008
Parkway East,2019-05-15T00:00:00,Avg,727.4,0.8868,10.4,12.7,23.2,62,14.3,16,40,229,3.7,2152
Parkway East,2019-05-16T00:00:00,Avg,726.2,0.4072,5.5,10,15.6,53.3,18.9,12,34.7,259,4.7,1115
Parkway East,2019-05-17T00:00:00,Avg,724.9,0.4368,3.4,10.2,13.6,76.7,19.1,12,31.8,240,4,1193
Parkway East,2019-05-18T00:00:00,Avg,727.9,0.3346,2.1,6.6,8.8,78.9,20.7,15,44,201,3.1,1086
Parkway East,2019-05-19T00:00:00,Avg,726.3,0.2792,1.4,9.5,10.9,61,24.6,16,28.4,213,6.2,1272
Parkway East,2019-05-20T00:00:00,Avg,726.6,0.2875,2.8,5.5,8.2,66.6,19.8,6,32.9,263,7.2,585
Parkway East,2019-05-21T00:00:00,Avg,731.6,0.5654,9.3,9.7,19.1,61.6,13.4,4,50.1,21,3,852
Parkway East,2019-05-22T00:00:00,Avg,731.5,0.1989,1.3,5.8,7.1,62.1,19.1,8,60,199,1.9,756
Parkway East,2019-05-23T00:00:00,Avg,729.5,0.3288,2.5,7.8,10.4,69.9,23.2,12,36.1,236,5.4,955
Parkway East,2019-05-24T00:00:00,Avg,731.1,0.6063,8,11.9,20,58.9,20.8,6,46.5,335,3,1131
Parkway East,2019-05-25T00:00:00,Avg,730,0.2874,1,5.5,6.5,75.2,22,11,29.8,193,4.6,1214
Parkway East,2019-05-26T00:00:00,Avg,729.2,0.6153,2.1,7.2,9.5,79.6,22,10,38.6,233,3.1,1146
Parkway East,2019-05-27T00:00:00,Avg,728.4,0.4175,2.3,5,7.4,65.8,21.8,6,44.4,346,2.6,734
Parkway East,2019-05-28T00:00:00,Avg,723.3,0.3827,2.1,6.6,8.8,78.1,22.8,13,38.5,209,5.8,932
Parkway East,2019-05-29T00:00:00,Avg,722.9,0.5398,3.5,10.3,13.9,88.3,21.5,13,42.3,233,3.8,1268
Parkway East,2019-05-30T00:00:00,Avg,723.6,0.2702,2.6,6.9,9.5,89.3,20.2,6,28.4,232,5,833
Parkway East,2019-05-31T00:00:00,Avg,725.3,0.8339,7.1,13.6,20.8,71.4,20.7,13,49.9,324,2.4,1686
Parkway East,2019-06-01T00:00:00,Avg,725.5,0.6937,2.6,9,11.7,75.5,20.2,20,38.4,203,4.3,2012
Parkway East,2019-06-02T00:00:00,Avg,724.1,0.4595,2.5,6.3,8.6,74.3,18,9,45.7,326,3.4,871
Parkway East,2019-06-03T00:00:00,Avg,729.8,0.4316,6.2,7.7,14,54.3,14.9,5,46.8,343,3.8,710
Parkway East,2019-06-04T00:00:00,Avg,730.4,0.4155,4.7,9,13.7,61.9,16.7,13,34.7,190,3.6,1147
Parkway East,2019-06-05T00:00:00,Avg,724.9,0.4848,1.6,10.3,12,82.7,19.6,19,27.2,200,5.3,1654
Parkway East,2019-06-06T00:00:00,Avg,725.1,0.6722,8.8,11.7,20.6,74.2,22.6,11,38.3,329,3,1381
Parkway East,2019-06-07T00:00:00,Avg,727.3,0.5528,7.1,9.4,16.6,71.2,21.8,10,61.1,55,2.4,1358
Parkway East,2019-06-08T00:00:00,Avg,730,0.4364,2.7,5.6,8.3,59.3,22.9,8,73.3,335,1.9,844
Parkway East,2019-06-09T00:00:00,Avg,731.2,0.2229,0.6,2.8,3.5,65.1,22.7,6,66.9,225,2.3,434
Parkway East,2019-06-10T00:00:00,Avg,727.4,0.2047,1.4,3.8,5.3,83.9,20.4,4,47.6,240,4.3,397
Parkway East,2019-06-11T00:00:00,Avg,731.9,0.4218,6.1,7.4,13.6,57.2,18.7,4,44.4,356,3.9,697
Parkway East,2019-06-12T00:00:00,Avg,729.4,0.1735,1.1,5.1,6.3,61.4,18.4,6,46.2,179,2.9,623
Parkway East,2019-06-13T00:00:00,Avg,723,0.2662,1.5,5.4,6.8,76.2,16.5,6,35.1,215,6.2,477
Parkway East,2019-06-14T00:00:00,Avg,729.5,0.3156,4.3,5.8,10.2,61.5,17.3,4,36.3,267,5.7,608
Parkway East,2019-06-15T00:00:00,Avg,728.8,0.3668,1.6,11.5,13.2,66.1,19.2,13,23.5,205,5.2,1306
Parkway East,2019-06-16T00:00:00,Avg,725.5,0.2879,0.9,4.9,5.7,82.7,21.3,10,32.8,212,5.5,620
Parkway East,2019-06-17T00:00:00,Avg,728.2,0.2557,2.4,6.9,9.1,85.4,21.7,6,31.1,212,4.1,815
Parkway East,2019-06-18T00:00:00,Avg,727,0.2388,3.1,6.9,10.1,83.9,21.9,5,26.8,218,3.9,949
Parkway East,2019-06-19T00:00:00,Avg,723.4,0.2838,2.1,7.5,9.6,84.7,23,10,37.5,193,2.5,1234
Parkway East,2019-06-20T00:00:00,Avg,719.3,0.3163,2.8,8.6,11.5,87.6,21.2,5,34.3,227,4.6,828
Parkway East,2019-06-21T00:00:00,Avg,726,0.4498,5.7,6.4,12.2,65.8,20.3,4,43.3,334,4.8,603
Parkway East,2019-06-22T00:00:00,Avg,730.3,0.616,7.3,8.9,16.3,61.3,20,2,52.8,23,2.1,1138
Parkway East,2019-06-23T00:00:00,Avg,729.4,0.3433,1.4,6,7.5,59.8,21.3,5,49.8,177,2.2,1104
Parkway East,2019-06-24T00:00:00,Avg,724.3,0.2924,1.7,6.7,8.6,74.2,23.6,12,39.4,185,4.3,1051
Parkway East,2019-06-25T00:00:00,Avg,726.9,0.4156,4.1,8.5,12.7,65.6,24,5,38.3,260,4.7,935
Parkway East,2019-06-26T00:00:00,Avg,731.9,0.5321,2.4,11.3,13.8,63.5,25.2,7,40.3,238,4.1,1261
Parkway East,2019-06-27T00:00:00,Avg,734.7,0.9953,4.3,13.7,18,79.5,23.7,15,51.7,151,2.3,2093
Parkway East,2019-06-28T00:00:00,Avg,734.5,0.5843,1.5,7.8,9.3,75.7,24.9,17,51.4,122,2.3,1110
Parkway East,2019-06-29T00:00:00,Avg,732,0.719,2,10.1,12.2,75.5,24.7,18,51.7,249,3,1680
Parkway East,2019-06-30T00:00:00,Avg,729.7,0.3618,1.8,5.3,7.2,64.4,24.3,8,47.4,342,3.5,694
Parkway East,2019-07-01T00:00:00,Avg,730.4,0.533,7.6,11.4,19.1,61.6,22.9,9,47.2,250,2.5,1487
Parkway East,2019-07-02T00:00:00,Avg,728.1,0.5043,2.5,11.4,14.1,70,25.6,17,36.9,219,4.4,1726
Parkway East,2019-07-03T00:00:00,Avg,729,0.3895,3.3,9.3,12.3,79.9,24.1,9,40.4,225,2.8,1208
Parkway East,2019-07-04T00:00:00,Avg,731,0.3383,1.1,6.1,7.2,79.9,25.4,20,46.3,130,2.6,1431
Parkway East,2019-07-05T00:00:00,Avg,731.9,0.397,2.1,8.1,10,83.3,24.9,18,44,170,2.1,1610
Parkway East,2019-07-06T00:00:00,Avg,729.7,0.5071,1.6,8.1,9.8,83.3,24.8,12,39,206,3.5,1484
Parkway East,2019-07-07T00:00:00,Avg,728.5,0.3851,2.1,5.8,8,87.5,24,10,42.4,172,2.1,1017
Parkway East,2019-07-08T00:00:00,Avg,729.3,0.536,9.3,7.3,16.7,75.5,25.2,12,55.8,50,2.4,1556
Parkway East,2019-07-09T00:00:00,Avg,731.3,0.3086,3,5.8,8.8,68.8,25.8,10,54.8,80,2,1074
Parkway East,2019-07-10T00:00:00,Avg,730.1,0.3526,1.5,7,8.5,69.8,27.3,13,45,175,3.4,1263
Parkway East,2019-07-11T00:00:00,Avg,727.2,0.4256,3.8,10.1,14,88.1,22.2,7,49.3,206,2.8,1337
Parkway East,2019-07-12T00:00:00,Avg,727.8,0.6981,7.9,12,20,73.2,23.6,9,49,316,2.7,1358
Parkway East,2019-07-13T00:00:00,Avg,730.2,0.924,7.2,11.3,18.6,66.2,24.8,14,43.3,230,3.3,2119
Parkway East,2019-07-14T00:00:00,Avg,731.9,0.5656,2.6,7.6,10.1,59.9,25.8,10,47,332,2.8,993
Parkway East,2019-07-15T00:00:00,Avg,732.6,0.6404,3.4,11.1,14.7,60,25,12,59.2,179,1.9,1191
Parkway East,2019-07-16T00:00:00,Avg,731.4,0.3702,2.3,8.7,11.1,67.2,27.5,9,29.8,211,5.2,1440
Parkway East,2019-07-17T00:00:00,Avg,728.6,0.3625,3,7.4,10.5,85.6,24.3,9,38.4,222,3.5,1166
Parkway East,2019-07-18T00:00:00,Avg,728.4,0.616,9.1,10.9,20.1,72.8,27,9,44.6,295,2.8,1634
Parkway East,2019-07-19T00:00:00,Avg,729,0.3106,1.5,6.9,8.6,75.8,27.6,16,30.9,214,5.4,1318
Parkway East,2019-07-20T00:00:00,Avg,728.6,0.5022,2.5,7.4,10,73.6,29.2,16,49.2,237,4,1149
Parkway East,2019-07-21T00:00:00,Avg,728,0.6357,3.2,7.7,10.6,77.9,27.3,11,51.1,285,3,954
Parkway East,2019-07-22T00:00:00,Avg,726.7,0.4442,4.7,8,12.5,88.7,21.5,8,41.7,262,3,1014
Parkway East,2019-07-23T00:00:00,Avg,728.3,0.5449,9,9,18,67,22.2,7,44.4,341,3.2,1005
Parkway East,2019-07-24T00:00:00,Avg,730.7,0.7029,11.4,12.7,24.2,66.2,20.9,11,49.5,351,2.3,1390
Parkway East,2019-07-25T00:00:00,Avg,733.9,0.6147,8.8,13.1,22,65.3,22.5,11,55.8,6,1.8,1543
Parkway East,2019-07-26T00:00:00,Avg,735.7,1.0116,5.9,11.1,17.2,66.6,23.8,17,57.4,185,1.7,2017
Parkway East,2019-07-27T00:00:00,Avg,734.9,0.7144,3.4,8.9,12.4,69.2,24,16,34.1,193,3.2,1784
Parkway East,2019-07-28T00:00:00,Avg,732.7,0.5551,0.9,7,8.2,65.2,25.9,17,34,218,4.4,1449
Parkway East,2019-07-29T00:00:00,Avg,730.1,0.5325,1.8,9.3,11.2,66.8,26.2,20,35.2,196,4,1609
Parkway East,2019-07-30T00:00:00,Avg,729.7,0.461,3.1,9.1,12.3,76.7,24.1,14,39.4,208,3.9,1395
Parkway East,2019-07-31T00:00:00,Avg,731,0.5432,4.5,10.7,15.3,76.9,24,10,46.7,227,2.3,1142
Parkway East,2019-08-01T00:00:00,Avg,732.1,0.7421,9.7,14,23.4,71.2,24.5,11,62,342,1.9,1703
Parkway East,2019-08-02T00:00:00,Avg,731.3,0.5764,6,9.2,15.3,79.5,22.9,10,63.8,102,1.9,1381
Parkway East,2019-08-03T00:00:00,Avg,730,0.819,6.1,8.9,15,72.8,24,10,50.7,10,2.2,1457
Parkway East,2019-08-04T00:00:00,Avg,729.5,0.5942,2.1,7.2,9.5,68.8,23.7,12,56.6,22,2,1187
Parkway East,2019-08-05T00:00:00,Avg,728.7,0.4857,2.5,9,11.7,74.2,23.8,15,47.6,135,2,1488
Parkway East,2019-08-06T00:00:00,Avg,725.7,0.9738,2.5,10,12.6,71.5,24.8,19,40.6,191,4,2099
Parkway East,2019-08-07T00:00:00,Avg,725.1,0.4735,3.6,10,13.4,78.4,23.3,11,40.5,234,4,1350
