datetime,bp,co,no,no2,nox,out_rh,out_t,pm25t,uvpm
2019-08-01T00:00:00,732.1,0.7421,9.7,14,23.4,71.2,24.5,11,1703
2016-04-28T00:00:00,725.3,0.7127,13.1,13.3,26.5,80.8,11.3,10,1367
2020-01-31T00:00:00,731.7,0.5358,10.8,18.4,29,81.7,2.2,17,1767
2019-10-18T00:00:00,728.9,0.5963,14.8,12.8,27.8,75,8.8,7,1277
2020-03-05T00:00:00,729.1,0.4567,7.4,14.6,22.5,62.5,5.2,9,965
2019-10-28T00:00:00,730.9,0.9679,7.2,12.5,19.8,72.6,13.7,10,1333
2020-03-27T00:00:00,725.9,0.4603,6.4,10.8,17.2,81.2,12.9,11,1155
2019-10-19T00:00:00,727.8,0.3631,3.9,8,12.1,73.7,10.5,8,1610
2017-11-16T00:00:00,728.9,0.3749,7.2,8.4,15.7,75.8,6,6,620
2016-07-08T00:00:00,725.3,0.2681,1.6,5.9,7.4,75.3,25.5,10,961
2016-05-19T00:00:00,731.8,0.6516,17.9,17.2,35.2,61.6,14.6,8,1562
2018-03-01T00:00:00,720.5,0.2832,1.6,9.8,11.5,86.2,9.1,6,800
2016-01-16T00:00:00,720.3,0.4083,5.1,9.1,14.3,83.8,2.4,8,527
2018-12-22T00:00:00,724.7,0.4077,5.8,7.7,13.6,87,1.6,7,481
2017-10-10T00:00:00,731.9,0.551,9.5,11.4,21,70.2,22.3,11,1507
2019-01-21T00:00:00,737.7,0.408,0.9,4.9,5.8,67.7,-12.5,7,714
2016-01-04T00:00:00,733.6,0.3907,9,8.9,18,65.1,-4.3,4,485
2018-11-22T00:00:00,739.1,0.4291,3.9,5.7,9.6,59.9,-3.4,3,420
2018-08-23T00:00:00,731.7,0.8321,13.5,14.6,28.2,64.3,19.8,11,1483
2017-01-10T00:00:00,731.3,0.3272,0.7,10.4,10.9,72.4,2.9,7,863
2018-08-13T00:00:00,729.8,0.5627,6.6,11.3,18,85,20.4,11,1465
2019-05-03T00:00:00,728.3,0.5022,4.9,10.5,15.5,85.7,19.1,11,1250
2017-12-10T00:00:00,727.7,0.2861,2,7.2,9.3,66.4,-0.7,11,577
2017-11-08T00:00:00,734.2,0.6066,14.4,12.8,27.3,69.3,5.1,5,1075
2016-03-15T00:00:00,723.1,0.504,10.6,12.8,23.5,86.3,12.2,8,1027
2019-03-17T00:00:00,733.5,0.4729,4.4,10,14.4,51.1,2.6,5,577
2019-02-13T00:00:00,723.8,0.2864,3.5,6.8,10.4,69.1,-0.6,5,392
2019-10-14T00:00:00,728.8,0.6999,7,13.6,20.7,60.8,12.4,8,1370
2019-01-16T00:00:00,732.2,0.4,8.1,11,19.3,84,-0.4,9,605
2019-09-03T00:00:00,729.4,1.7681,9.7,9.7,19.4,77.4,22.2,17,2478
2019-12-04T00:00:00,718.3,0.2884,4.7,9.8,14.5,85.7,1.4,9,673
2017-04-22T00:00:00,729.4,0.5884,6.5,7.6,14.2,64,10.6,4,709
2016-11-26T00:00:00,734.5,0.4783,6.3,8.3,14.7,77.1,4,8,633
2019-10-22T00:00:00,724,0.3205,2.4,8.1,10.7,85.2,14.4,5,658
2017-03-31T00:00:00,721,0.3472,4.9,11.2,16.2,92.7,10.3,7,797
2020-04-02T00:00:00,728.1,0.3049,3.6,6.5,10.2,46.2,8.6,5,500
2018-05-11T00:00:00,730.3,0.5769,10.4,11.5,22,58.5,16.7,7,1186
2017-08-09T00:00:00,734.4,0.7844,6.7,8.9,15.7,66.8,20.8,15,1820
2017-03-06T00:00:00,735.3,0.512,1.3,13.6,15,69,8.7,15,1741
2016-10-29T00:00:00,730.3,0.4078,1,10.1,11.2,64.8,16.9,14,1397
2017-08-13T00:00:00,730.2,0.5569,3.8,7,11,71,21.1,11,1260
